vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,,15-01-2019 03:42,1,1,1,N,230,48,1,6.5,0.5,0.5,1.95,0,0.3,9.75,
1,25-01-2019 18:20,25-01-2019 18:26,1,0.8,1,N,112,112,1,6,1,0.5,1.55,0,0.3,9.35,0
1,05-01-2019 06:47,05-01-2019 06:52,1,1.1,1,N,107,4,2,6,0,0.5,0,0,0.3,6.8,
1,09-01-2019 15:08,09-01-2019 15:20,,2.5,1,N,143,158,1,11,0,0.5,3,0,0.3,14.8,
1,25-01-2019 18:49,25-01-2019 18:56,1,0.8,1,N,246,90,1,6.5,1,0.5,1.65,0,0.3,9.95,0
1,26-01-2019 18:24,26-01-2019 18:39,1,1.3,1,N,144,45,2,10.5,0,0.5,0,0,0.3,11.3,0
1,18-01-2019 15:24,18-01-2019 15:40,1,3.6,1,N,13,68,1,14.5,0,0.5,3.8,0,0.3,19.1,
1,03-01-2019 14:56,03-01-2019 15:10,1,1.8,1,N,239,237,1,10.5,0,0.5,2.25,0,0.3,13.55,
1,04-01-2019 15:50,04-01-2019 16:36,1,20.8,2,N,132,238,1,52,0,0.5,11.7,5.76,0.3,70.26,
1,05-01-2019 17:55,05-01-2019 18:10,1,1.2,1,N,264,264,2,10,0,0.5,0,0,0.3,10.8,
1,20-01-2019 22:28,20-01-2019 22:37,1,2.6,1,N,90,229,1,9.5,0.5,0.5,2.15,0,0.3,12.95,
1,17-01-2019 09:50,17-01-2019 09:55,1,1.1,1,N,264,264,2,6,0,0.5,0,0,0.3,6.8,
1,22-01-2019 14:43,22-01-2019 14:52,1,1.1,1,N,237,236,1,7.5,0,0.5,1.65,0,0.3,9.95,0
1,29-01-2019 20:39,29-01-2019 20:48,1,1.6,1,N,162,246,1,8,0.5,0.5,1.85,0,0.3,11.15,0
1,03-01-2019 21:09,03-01-2019 21:21,1,2.7,1,N,164,125,1,10.5,0.5,0.5,2,0,0.3,13.8,
1,04-01-2019 17:04,04-01-2019 17:08,1,1.1,1,N,263,140,1,5.5,1,0.5,1.45,0,0.3,8.75,
1,29-01-2019 07:53,29-01-2019 08:08,1,2.3,1,N,264,264,2,12,0,0.5,0,0,0.3,12.8,0
1,05-01-2019 00:21,05-01-2019 00:25,1,0.6,1,N,100,170,2,4.5,0.5,0.5,0,0,0.3,5.8,
1,30-01-2019 21:03,30-01-2019 21:35,1,10.9,1,N,144,244,4,34,0.5,0.5,0,0,0.3,35.3,0
1,07-01-2019 08:23,07-01-2019 09:02,1,15.4,1,N,132,208,1,44,0,0.5,3,5.76,0.3,53.56,
1,10-01-2019 17:23,10-01-2019 17:34,1,1.5,1,N,162,141,2,9,1,0.5,0,0,0.3,10.8,
1,26-01-2019 07:05,26-01-2019 07:12,1,2.2,1,N,186,237,2,9,0,0.5,0,0,0.3,9.8,0
1,27-01-2019 10:45,27-01-2019 10:53,1,1.4,1,N,162,246,2,7.5,0,0.5,0,0,0.3,8.3,0
1,29-01-2019 06:57,29-01-2019 06:59,1,0.4,1,N,229,161,1,4,0,0.5,1.15,0,0.3,5.95,0
1,14-01-2019 13:20,14-01-2019 13:30,1,1.7,1,N,48,162,1,9,0,0.5,1.95,0,0.3,11.75,
1,26-01-2019 16:44,26-01-2019 16:57,1,1.7,1,N,236,43,2,10,0,0.5,0,0,0.3,10.8,0
1,15-01-2019 10:42,15-01-2019 11:09,1,7.1,2,N,223,142,1,52,0,0.5,11.71,5.76,0.3,70.27,
1,11-01-2019 23:14,11-01-2019 23:42,1,4.8,1,N,100,7,1,21.5,0.5,0.5,6.8,0,0.3,29.6,
1,24-01-2019 00:08,24-01-2019 00:20,1,2.8,1,N,231,186,2,11,0.5,0.5,0,0,0.3,12.3,0
1,05-01-2019 23:42,06-01-2019 00:11,1,12.7,1,N,132,85,2,37,0.5,0.5,0,0,0.3,38.3,
1,22-01-2019 10:15,22-01-2019 10:41,1,2.7,1,N,162,144,1,16.5,0,0.5,3.45,0,0.3,20.75,0
1,21-01-2019 16:29,21-01-2019 16:35,1,1.1,1,N,166,166,2,6.5,0,0.5,0,0,0.3,7.3,0
1,14-01-2019 12:10,14-01-2019 12:30,1,3.8,1,N,68,13,1,17,0,0.5,3.55,0,0.3,21.35,
1,14-01-2019 11:55,14-01-2019 12:08,1,0.7,1,N,100,234,1,8.5,0,0.5,1.85,0,0.3,11.15,
1,03-01-2019 21:15,03-01-2019 21:23,1,1.5,1,N,236,161,1,8.5,0.5,0.5,0,0,0.3,9.8,
